OrderID,OrderDate,Region,City,Category,Product,SalesRep,Quantity,UnitPrice,Discount%,PaymentMode,TotalSales
ORD1001,24-04-2024,East,Kolkata,Electronics,Mobile,Priya,3,40558.62,15,Card,103424.48
ORD1002,28-11-2024,South,Hyderabad,Furniture,Chair,Rahul,12,30062.79,0,NetBanking,360753.48
ORD1003,21-06-2024,South,Bangalore,Clothing,Jacket,Pooja,2,5282.47,0,UPI,10564.94
ORD1004,12-11-2024,East,Bhubaneswar,Grocery,Rice,Priya,15,47421.54,10,Card,640190.79
ORD1005,21-11-2024,East,Patna,Electronics,Smartwatch,Priya,14,20192.8,0,Card,282699.2
ORD1006,18-05-2024,West,Pune,Furniture,Table,Amit,15,35271.99,10,Cash,476171.86
ORD1007,17-10-2024,North,Delhi,Grocery,Atta,Vikas,15,39541.7,0,Card,593125.5
ORD1008,23-07-2024,West,Ahmedabad,Furniture,Sofa,Rahul,6,12218.78,0,NetBanking,73312.68
ORD1009,27-08-2024,West, Ahmedabad ,Electronics,Smartwatch,Vikas,9,13977.49,10,Cash,113217.67
ORD1010,20-08-2024,West,Mumbai,Electronics,Headphone,Vikas,1,52469.11,15,Card,44598.74
ORD1011,28-09-2024,South,Hyderabad,Furniture,Sofa,Vikas,15,231.34,0,Card,3470.1
ORD1012,05-09-2024,North,Delhi,Electronics,Laptop,Rahul,14,3992.85,20,Cash,44719.92
ORD1013,08-06-2024,South,Hyderabad,Grocery,Oil,Priya,7,54734.18,15,Cash,325668.37
ORD1014,06-02-2024,South, Bangalore ,Electronics,Laptop,Vikas,12,34784.44,0,NetBanking,417413.28
ORD1015,30-08-2024,West,Mumbai,Furniture,Table,Amit,13,22506.89,0,UPI,292589.57
ORD1016,07-05-2024,East,Kolkata,Electronics,Smartwatch,Priya,4,10623.45,5,NetBanking,40369.11
ORD1017,01-05-2024,North,Delhi,Electronics,Mobile,Arjun,3,22471.49,5,Cash,64043.75
ORD1018,11-10-2024,West,Ahmedabad,Grocery,Atta,Amit,11,39568.77,0,Cash,435256.47
ORD1019,28-09-2024,West,Ahmedabad,Electronics,Mobile,Sneha,3,3317.0,10,NetBanking,8955.9
ORD1020,11-02-2024,North,Jaipur,Electronics,Laptop,Sneha,7,36224.05,10,Cash,228211.52
ORD1021,10-06-2024,east,Patna,Grocery,Oil,Sneha,15,41402.17,0,Cash,621032.55
ORD1022,08-07-2024,North,Delhi,Furniture,Sofa,Amit,5,8844.53,20,Cash,35378.12
ORD1023,24-02-2024,East,Kolkata,Electronics,Laptop,Vikas,12,30516.66,0,NetBanking,366199.92
ORD1024,04-08-2024,North,Jaipur,Clothing,T-Shirt,Pooja,14,15362.08,0,NetBanking,215069.12
ORD1025,17-03-2024,North,Jaipur,Electronics,Mobile,Amit,9,2174.34,0,Cash,19569.06
ORD1026,13-10-2024,North,Lucknow,Furniture,Table,Rahul,15,48134.26,10,NetBanking,649812.51
ORD1027,08-12-2024,East,Patna,Electronics,Laptop,Pooja,14,40481.15,0,Card,566736.1
ORD1028,26-04-2024,East,Patna,Furniture,Almirah,Neha,4,1496.81,0,NetBanking,5987.24
ORD1029,01-04-2024,north,Lucknow,Clothing,T-Shirt,Arjun,10,52946.88,0,UPI,529468.8
ORD1030,28-12-2024,East,Kolkata,Grocery,Oil,Neha,7,292.68,20,NetBanking,1639.01
